run_id,gpu_index,row_id,kind,variant,value,unit,cv_pct,n_reps,n_rejected,bench_src,git_sha,notes,rep_values
20260610T013447-33835,1,atomics.shared.add.lat,latency_cycles,contention8,38.9999,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999
20260610T013447-33835,1,atomics.global.add.lat,latency_cycles,contention8,312.413,cycles,0.004,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,312.408;312.41;312.415;312.424;312.399;312.436;312.408;312.438;312.411;312.418
20260610T013447-33835,1,atomics.shared.add.lat,latency_cycles,contention16,54.9998,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,54.9998;54.9999;54.9999;54.9998;54.9998;54.9998;54.9998;54.9998;54.9998;54.9998
20260610T013447-33835,1,atomics.global.add.lat,latency_cycles,contention16,306.632,cycles,0.006,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,306.622;306.658;306.631;306.657;306.608;306.633;306.617;306.649;306.631;306.662
20260610T013447-33835,1,atomics.shared.add.lat,latency_cycles,contention32,86.9998,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,86.9998;86.9998;86.9998;86.9998;86.9999;86.9998;86.9998;86.9998;86.9998;86.9998
20260610T013447-33835,1,atomics.global.add.lat,latency_cycles,contention32,299.429,cycles,0.039,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,299.355;299.389;299.279;299.532;299.251;299.482;299.232;299.526;299.499;299.469
20260610T013447-33835,1,atomics.global.cas.lat,latency_cycles,,265.982,cycles,0.003,10,0,bench/mem/atomics.cu,54454fe,single-thread dependent CAS chain; no published prior,265.973;265.982;265.974;265.968;265.984;265.982;265.987;265.96;265.988;265.982
20260610T013450-33846,0,atomics.shared.add.lat,latency_cycles,,25.0001,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001
20260610T013450-33846,0,atomics.global.add.lat,latency_cycles,,311.076,cycles,0.011,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,311.116;311.069;311.117;311.051;311.083;311.04;311.094;311.044;311.131;311.045
20260610T013450-33846,0,atomics.shared.add.lat,latency_cycles,contention2,26.9999,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999
