run_id,gpu_index,row_id,kind,variant,value,unit,cv_pct,n_reps,n_rejected,bench_src,git_sha,notes,rep_values
20260610T023848-40534,1,x.nccl.allreduce,time_us,20480b_steady,24.931,us,2.828,500,0,bench/x/nccl_pcie.cu,d05d32f,ALGO=Ring PROTO=LL channels=2 NCCL 2.30.4; 2-rank; p10 24.58 us; p90 25.29 us,
20260610T023848-40534,1,x.nccl.allreduce,time_us,65536b_steady,28.54,us,24.674,500,0,bench/x/nccl_pcie.cu,d05d32f,ALGO=Ring PROTO=LL channels=2 NCCL 2.30.4; 2-rank; p10 28.04 us; p90 35.08 us,
20260610T023852-40557,0,x.pcie.bw,bandwidth,h2d_pinned_gpu0,12.2053,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
20260610T023852-40557,0,x.pcie.bw,bandwidth,d2h_pinned_gpu0,13.165,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
20260610T023852-40557,0,x.pcie.bw,bandwidth,h2d_pageable_gpu0,9.49044,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
20260610T023852-40557,0,x.pcie.bw,bandwidth,d2h_pageable_gpu0,11.2922,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
20260610T023852-40557,0,x.pcie.lat,time_us,h2d_4b_gpu0,3.873,us,9.140,1000,0,bench/x/nccl_pcie.cu,d05d32f,pinned small transfer; p10 3.72 us; p90 4.07 us,
20260610T023852-40557,0,x.pcie.lat,time_us,h2d_4096b_gpu0,4.66,us,9.485,1000,0,bench/x/nccl_pcie.cu,d05d32f,pinned small transfer; p10 4.44 us; p90 4.88 us,
20260610T023852-40557,0,x.pcie.lat,time_us,h2d_65536b_gpu0,10.8,us,3.806,1000,0,bench/x/nccl_pcie.cu,d05d32f,pinned small transfer; p10 10.63 us; p90 11.04 us,
20260610T023852-40557,0,x.pcie.bw,bandwidth,h2d_pinned_gpu1,12.2263,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
20260610T023852-40557,0,x.pcie.bw,bandwidth,d2h_pinned_gpu1,13.1705,GB/s,0.000,10,0,bench/x/nccl_pcie.cu,d05d32f,256 MiB cudaMemcpyAsync,
